Version,id
4.3.0,867737178
4.3.1,867816638
4.3.2,867878232
4.3.3,868520517
4.3.4,868588395
4.3.5,868870264
4.3.6,869002398
4.3.7,869533906
5.0.0,870468250
5.0.1,870616494
5.0.2,870834330
5.0.3,870995397
5.0.4,871454810
5.0.5,871693434
5.0.6,871818275
5.0.7,872372853
5.0.8,872753467
5.0.9,873309280
5.0.10,873488462
5.0.11,873845182
5.1.0,873877701
5.1.1,874133321
5.1.2,874503062
5.1.3,874584538
5.1.4,874897035
5.1.5,874980741
5.2.0,875046027
5.2.1,875248617
5.2.2,875419347
5.3.0,875613242
5.3.1,875710722
5.4.0,876009728
5.4.1,876077446
5.4.2,876313906
5.5.0,876345722
5.5.1,876441749
5.5.2,876508236
5.5.3,876530974
5.5.4,876768105
5.5.4,876768097
5.5.5,877208662
5.5.5,877704328
5.5.6,877704328
5.5.7,877704328
5.5.7,877999821
5.5.8,878383402
5.5.9,878383402
5.5.9,878424190
5.6.0,878729513
5.6.1,879099785
5.6.2,879525279
5.6.3,879890521
5.6.4,879970672
